1bw	ngram	simple	limited	full
1000	415	408	408	408
2000	595	599	598	598
4000	873	266	265	265
8000	845	253	153	183
16000	1130	411	243	272
32000	1518	569	368	396
64000	1704	856	520	546
128000	1781	1117	675	670
256000	1548	1228	765	738
512000	1325	1117	783	710
1024000	1126	993	755	655
2048000	913	862	690	585
4096000	727	729	604	510
8192000	570	603	516	441
16384000	446	494	432	380
32768000	349	402	358	329
65536000	337	328	296	289
131072000	267	266	243	256
262144000	215	214	198	230
524288000	171	171	160	209
1048576000	150	150.183738	141.019253	199.364756
