emea	ngram	simple	limited	full
1000	413	416	416	416.303915
2000	548	647	648	646.925152
4000	926	281	281	280.88109
8000	1018	244	143	178
16000	1283	446	236	279
32000	1812	647	376	435
64000	2084	953	566	608
128000	2124	1379	829	862
256000	2370	1521	1023	973
512000	2530	1869	1314	1199
1024000	2708	1950	1510	1280
2048000	2765	2085	1682	1363
4096000	2840	2215	1764	1407
8192000	2700	2359	1865	1478
16384000	2551	2283	1780	1393
32768000	2303	2210	1760	1361
65536000	2217	2101	1725	1318
131072000	1996	1999	1607	1241
262144000	1910	1881	1508	1188
524288000	1749	1737	1375	1109
1048576000	1644	1634	1304	1069
