jrc	ngram	simple	limited	full
1000	421	380	380	380
2000	466	515	518	516
4000	703	241	242	241
8000	693	174	104	130
16000	955	311	161	198
32000	1357	461	271	314
64000	1800	737	429	472
128000	2137	1236	734	738
256000	2283	1549	977	927
512000	2364	1771	1233	1097
1024000	2435	1803	1386	1136
2048000	2486	1864	1483	1483
4096000	2265	1857	1484	1146
8192000	1868	1753	1426	1072
16384000	1695	1599	1351	973
32768000	1548	1509	1282	913
65536000	1534	1451	1223	871
131072000	1372	1384	1159	827
262144000	1286	1307	1090	788
524288000	1232	1239	1036	758
1048576000	1205	1183	994	728
