wp	ngram	simple	limited	full
1000	398	392	392	392
2000	518	547	548	547
4000	715	255	255	255
8000	692	187	109	137
16000	928	333	169	208
32000	1251	455	265	307
64000	1490	704	413	453
128000	1673	990	593	606
256000	1706	1160	748	725
512000	1647	1242	879	806
1024000	1607	1224	955	819
2048000	1487	1187	977	805
4096000	1369	1157	982	784
8192000	1226	1099	956	748
16384000	1095	1031	912	706
32768000	985	957	854	663
65536000	947	895	802	627
131072000	838	838	752	596
262144000	773	698	698	565
524288000	724	728	657	542
1048576000	698	702	635	531
