tr1pos	tr1val	te1val	tejval	teeval
0	90903084	920064	648138	659001
1	35936573	363847	533903	76050
2	35089484	356127	357655	99014
3	30301028	306688	216046	219667
4	29969612	303526	310144	124625
5	18123964	184708	184970	41508
6	17337973	175139	352000	76937
7	15726613	159612	176997	50600
8	15501959	157142	80128	26083
9	13893144	140430	170723	46483
10	8916641	90569	0	507
11	6885333	69533	0	338
13	6509312	66003	93018	22321
15	5622298	56893	47137	25409
17	4684600	47446	11752	7516
19	4300819	43833	571	1
22	3461384	35219	15104	3766
24	3219386	32915	30012	5483
28	2992685	30118	10950	5211
31	2442763	24732	20459	5799
35	2154129	22015	6127	2386
40	1870825	18983	0	60
45	1730945	17562	25762	5337
51	1462078	14886	1065	1541
57	1246814	12488	12357	4470
64	1095691	11198	4235	3006
72	981640	9873	7478	866
81	899680	9093	51	68
92	719095	7105	5446	3773
103	618764	6420	1135	889
116	533638	5537	262	196
130	488227	4997	804	5
147	435082	4476	7621	1500
165	388295	3996	2171	788
186	331982	3330	578	1326
209	308534	3089	2959	87
234	273723	2817	83	14
264	256816	2666	165	453
296	232145	2343	571	141
333	212666	2165	20	23
374	191117	1947	162	0
420	173855	1758	3404	130
472	159357	1568	1099	194
531	146134	1487	4450	1040
597	131457	1318	154	59
670	118966	1245	1056	263
753	108338	1120	317	128
846	98974	1007	12	10
951	86963	867	210	405
1068	77679	775	2361	115
1200	69431	697	7	0
1348	61662	640	1	0
1514	54785	525	2923	594
1701	48609	497	261	20
1911	42800	411	0	0
2147	37682	408	21	0
2411	32873	343	122	277
2709	28743	288	123	1
3043	25488	254	5	0
3418	22069	229	13	5
3840	19108	162	957	110
4313	16484	172	0	0
4845	14184	127	231	7
5443	12225	124	22	0
6114	10488	92	0	0
6868	8852	93	16	0
7715	7541	70	3	0
8666	6399	70	0	0
9735	5398	51	3	0
10935	4531	43	21	16
12283	3812	35	128	1
13797	3175	23	2	0
15498	2639	33	0	81
17409	2195	27	9	0
19555	1825	19	5	0
21966	1502	21	0	0
24674	1245	14	86	4
27716	1024	7	7	0
31133	839	10	0	0
34971	685	7	0	0
39282	560	5	6	0
44125	456	2	0	0
49564	370	4	0	0
55675	300	3	0	0
62538	243	3	0	0
70248	195	3	0	0
78907	156	0	0	0
88635	125	1	0	680
99562	100	1	0	0
