trepos	treval	te1val	tejval	teeval
0	2636001	920064	648138	659001
1	878667	306688	216046	219667
2	498107	303526	310144	124625
3	394360	356127	357655	99014
4	304553	175139	352000	76937
5	303372	363847	533903	76050
6	203652	159612	176997	50600
7	186155	140430	170723	46483
8	183201	22957	0	45978
9	180097	23119	0	45223
10	165811	184708	184970	41508
11	153239	5155	0	38722
13	104614	16650	62658	25970
15	99955	56893	47137	25409
17	88547	66003	93018	22321
19	69290	1019	35	17197
21	60770	22877	31530	15107
24	50663	4504	15715	12643
27	50100	10269	0	12528
30	42560	89	231	10614
34	38624	37983	48271	9714
38	31190	36517	23841	7939
42	30880	75	5189	7666
48	25086	3155	3645	6251
53	23113	644	245	5843
60	21499	17562	25762	5337
67	19811	5277	11632	4903
75	16002	190	208	3987
84	14149	6023	32709	3812
94	12765	1846	6672	3178
105	11387	1339	1624	2835
118	10416	69	41	2566
132	9712	10023	11514	2484
148	9194	12973	7074	2294
165	8218	11053	6679	2073
185	7345	211	48	1894
207	6652	7	17	1693
231	6101	0	11	1581
259	5448	551	506	1381
289	4988	899	1706	1265
323	4655	9	10	1232
362	4103	816	293	992
404	3722	2814	2658	932
452	3453	748	68	877
505	3060	255	2835	773
565	2720	82	50	688
632	2448	471	1187	653
706	2185	0	0	536
789	2005	198	1831	512
882	1806	210	52	486
986	1584	0	0	358
1103	1359	29	0	333
1233	1192	208	321	302
1378	1045	398	144	256
1540	906	213	2	237
1721	792	172	58	194
1924	685	2750	32	166
2151	585	30	20	155
2404	507	48	98	109
2687	425	1	0	107
3003	364	14	160	91
3356	311	215	365	66
3751	262	8	0	78
4193	223	0	1	59
4686	187	20	6	41
5238	158	8	0	36
5854	133	1	0	39
6543	110	0	0	25
7313	91	1	0	20
8173	75	2	0	18
9135	62	12	15	13
10210	50	6	34	8
11411	41	0	0	5
12754	32	0	0	8
14254	26	79	26	5
15931	20	0	0	4
17805	16	0	0	4
19900	12	0	0	3
22242	10	2295	89	0
24858	7	0	0	0
27783	6	0	0	0
31051	4	0	0	1
34704	3	0	0	1
38787	2	0	0	0
43350	2	4	117	0
48450	1	0	0	0
54150	1	1	0	1
60520	1	0	0	0
