trjpos	trjval	te1val	tejval	teeval
0	2591157	920064	648138	659001
1	2124673	363847	533903	76050
2	1426266	356127	357655	99014
3	1395071	175139	352000	76937
4	1235287	303526	310144	124625
5	863719	306688	216046	219667
6	736022	184708	184970	41508
7	703147	159612	176997	50600
8	676108	140430	170723	46483
10	313988	31489	78392	23147
11	311442	157142	80128	26083
13	247263	16650	62658	25970
15	222700	57711	56395	10595
17	201591	53148	50209	13945
20	192319	67151	48365	7869
22	186435	45693	46282	31621
26	131953	732	33113	235
29	118276	32915	30012	5483
33	93143	27	23014	289
38	72424	1865	18637	1117
44	62422	9502	15234	6912
50	56352	3	14161	79
57	49312	7	12374	49
65	45561	47446	11752	7516
73	41875	3143	10486	72
84	34703	5068	8761	279
95	30380	5596	7603	648
108	26425	921	6664	201
123	24011	20334	6076	1168
140	22102	797	5584	421
159	19406	625	4889	391
181	17523	391	4337	562
206	15479	5	3911	0
234	13802	565	3386	609
265	12118	964	2990	1780
302	10892	150	3118	1109
343	9976	329	2580	8
389	8848	5847	2131	974
442	7863	1115	1980	109
502	6845	1372	1665	307
570	6062	1067	1532	1229
648	5226	1334	1196	3310
736	4616	1077	1201	65
835	3982	680	1066	218
949	3456	1034	947	1
1077	2990	69	774	717
1223	2585	288	609	249
1389	2288	691	564	264
1577	2003	203	506	84
1791	1692	886	445	4
2034	1445	2	338	0
2309	1238	656	303	129
2622	1064	1814	260	96
2977	881	169	216	8
3381	720	132	184	0
3839	600	58	132	0
4359	498	80	108	0
4949	415	40	110	6
5619	339	27	85	1
6380	279	611	66	0
7244	227	15	49	201
8225	187	109	42	2
9339	152	188	33	0
10603	123	0	31	0
12039	101	0	18	0
13669	82	0	30	0
15520	66	0	16	0
17621	54	0	14	0
20007	43	0	12	0
22716	36	4	11	0
25792	29	0	4	0
29284	24	0	6	0
33249	20	0	5	0
37750	16	0	2	0
42861	13	0	1	0
48664	11	0	1	0
55253	9	0	0	0
62734	8	0	3	0
71227	6	0	0	0
80871	6	0	0	0
91820	5	0	1	0
104251	4	7	0	0
118366	3	1	0	0
134391	2	0	0	0
152586	2	0	1	2
173245	2	0	0	0
196700	1	0	0	0
223331	1	0	0	0
253567	1	1	1	0
287897	1	0	0	0
