c	d	c1	c2	c3	c4	c5
1	1	1	1	1	1	1
2	8898531	8898531	79183853957961	7.04619979144389E+020	6.2700827276357E+027	5.57945255244308E+034
3	17797061	17797061	316735380237721	5.63695888294892E+021	1.00321301094334E+029	1.78542431517522E+036
4	26695591	26695591	712654578839281	1.90247351609707E+022	5.07876548740593E+029	1.35580646236704E+037
5	35594121	35594121	1.26694144976264E+015	4.50956672627669E+022	1.60514063712666E+030	5.71335700599035E+037
6	44492651	44492651	1.9795959930078E+015	8.80774736378945E+022	3.91880029553254E+030	1.74357813887826E+038
7	53391181	53391181	2.85061820857476E+015	1.52197872735911E+023	8.12602417105798E+030	4.33858027327332E+038
8	62289711	62289711	3.88000809646352E+015	2.41684583006373E+023	1.50544628286225E+031	9.37738138855137E+038
9	71188241	71188241	5.06776565667408E+015	3.60765322898838E+023	2.56822487509653E+031	1.82827411350567E+039
10	80086771	80086771	6.41389088920644E+015	5.13667810862863E+023	4.11379963386454E+031	3.29460929217193E+039
11	88985301	88985301	7.9183837940606E+015	7.04619765348005E+023	6.27008019100416E+031	5.57944973090642E+039
12	97883831	97883831	9.58124437123656E+015	9.37848904803821E+023	9.18002437013523E+031	8.98575954022198E+039
13	106782361	106782361	1.14024726207343E+016	1.21758294767987E+024	1.30016381866596E+032	1.38834562243927E+040
14	115680891	115680891	1.33820685425539E+016	1.5480496124257E+024	1.7907975847761E+032	2.07161060207547E+040
15	124579421	124579421	1.55200321366952E+016	1.93347661749089E+024	2.40871397524053E+032	3.00076192390074E+040
16	133477951	133477951	1.78163634031584E+016	2.37809168132497E+024	3.17422804913402E+032	4.23689456005136E+040
17	142376481	142376481	2.02710623419434E+016	2.88612252237751E+024	4.10915968470954E+032	5.85047695776014E+040
18	151275010	151275010	2.28841286505001E+016	3.46179679044569E+024	5.2368334409264E+032	7.92202031144475E+040
19	160173540	160173540	2.56555629161316E+016	4.10934233296952E+024	6.58207908543587E+032	1.05427490767423E+041
20	169072070	169072070	2.85853648540849E+016	4.83298680758538E+024	8.17123083841152E+032	1.38152691229807E+041
21	177970600	177970600	3.167353446436E+016	5.63695793274283E+024	1.003212785465E+033	1.78542381356877E+041
22	186869130	186869130	3.49200717469569E+016	6.52548342689142E+024	1.21941141081262E+033	2.27870349450626E+041
23	195767660	195767660	3.83249767018756E+016	7.5027910084807E+024	1.46880383919931E+033	2.87544290599065E+041
24	204666190	204666190	4.18882493291161E+016	8.57310839596025E+024	1.7546254318582E+033	3.59112502015521E+041
25	213564720	213564720	4.56098896286784E+016	9.74066330777961E+024	2.08026203194023E+033	4.44270578377945E+041
26	222463250	222463250	4.94898976005625E+016	1.10096834623883E+025	2.44924996451416E+033	5.44868107168205E+041
27	231361780	231361780	5.35282732447684E+016	1.2384396578236E+025	2.86527603656659E+033	6.62915364011391E+041
28	240260310	240260310	5.77250165612961E+016	1.38690303737721E+025	3.33217753700191E+033	8.00590008015115E+041
29	249158840	249158840	6.20801275501456E+016	1.54678125674463E+025	3.85394223664235E+033	9.60243777108813E+041
30	258057370	258057370	6.65936062113169E+016	1.71849708777081E+025	4.43470838822794E+033	1.14440918338304E+042
31	266955900	266955900	7.126545254481E+016	1.9024733023007E+025	5.07876472641657E+033	1.35580620842879E+042
32	275854430	275854430	7.60956665506249E+016	2.09913267217927E+025	5.79055046778389E+033	1.59734899867676E+042
33	284752960	284752960	8.10842482287616E+016	2.30889796925146E+025	6.57465531082343E+033	1.87215256073669E+042
34	293651490	293651490	8.62311975792201E+016	2.53219196536224E+025	7.4358194359465E+033	2.18353945673665E+042
35	302550020	302550020	9.15365146020004E+016	2.76943743235655E+025	8.37893350548223E+033	2.53504649966232E+042
36	311448550	311448550	9.70001992971025E+016	3.02105714207936E+025	9.4090386636776E+033	2.93043144869633E+042
37	320347080	320347080	1.02622251664526E+017	3.28747386637562E+025	1.05313265366974E+034	3.37367970455752E+042
38	329245610	329245610	1.08402671704272E+017	3.56911037709028E+025	1.17511392326242E+034	3.86901100484029E+042
39	338144140	338144140	1.1434145941634E+017	3.86638944606831E+025	1.30739693414584E+034	4.42088611935383E+042
40	347042670	347042670	1.20438614800729E+017	4.17973384515465E+025	1.45054599351184E+034	5.0340135454615E+042
41	355941200	355941200	1.2669413785744E+017	4.50956634619426E+025	1.605140456744E+034	5.71335620342008E+042
42	364839730	364839730	1.33108028586473E+017	4.85630972103211E+025	1.77177472741773E+034	6.46413813171908E+042
43	373738260	373738260	1.39680286987828E+017	5.22038674151313E+025	1.95105825730019E+034	7.29185118242005E+042
44	382636790	382636790	1.46410913061504E+017	5.6022201794823E+025	2.14361554635033E+034	8.20226171649587E+042
45	391535320	391535320	1.53299906807502E+017	6.00223280678456E+025	2.35008614271889E+034	9.20141729917007E+042
46	400433850	400433850	1.60347268225823E+017	6.42084739526488E+025	2.57112464274839E+034	1.02956533952561E+043
47	409332380	409332380	1.67552997316464E+017	6.8584867167682E+025	2.80740069097311E+034	1.14916000644967E+043
48	418230910	418230910	1.74917094079428E+017	7.31557354313948E+025	3.05959898011915E+034	1.2796188656903E+043
49	427129440	427129440	1.82439558514714E+017	7.79253064622368E+025	3.32841925110436E+034	1.42166585080942E+043
50	436027970	436027970	1.90120390622321E+017	8.28978079786576E+025	3.61457629303839E+034	1.57605636346365E+043
51	444926500	444926500	1.9795959040225E+017	8.80774676991067E+025	3.91879994322266E+034	1.74357794293826E+043
52	453825029	453825029	2.05957156946851E+017	9.34685127241621E+025	4.24183504976298E+034	1.9250509144719E+043
53	462723559	462723559	2.14113092053626E+017	9.90751719835487E+025	4.58444161887647E+034	2.12132914191424E+043
54	471622089	471622089	2.22427394832724E+017	1.04901672601837E+026	4.94739459720725E+034	2.3333005750422E+043
55	480520619	480520619	2.30900065284143E+017	1.10952242297477E+026	5.33148401482216E+034	2.56188799899095E+043
56	489419149	489419149	2.39531103407884E+017	1.17231108788918E+026	5.73751494997985E+034	2.80804968419392E+043
57	498317679	498317679	2.48320509203947E+017	1.23742499794609E+026	6.16630752913076E+034	3.07278005591666E+043
58	507216209	507216209	2.57268282672332E+017	1.30490643033E+026	6.61869692691708E+034	3.35711036379083E+043
59	516114739	516114739	2.66374423813038E+017	1.37479766222542E+026	7.0955333661728E+034	3.66210935134807E+043
60	525013269	525013269	2.75638932626066E+017	1.44714097081682E+026	7.59768211792372E+034	3.98888392555397E+043
61	533911799	533911799	2.85061809111416E+017	1.52197863328871E+026	8.12602350138736E+034	4.33857982634201E+043
62	542810329	542810329	2.94643053269088E+017	1.59935292682558E+026	8.68145288397308E+034	4.71238229614742E+043
