c	c1	c2	c3	c4	c5
	 1	190669	2005689	4880201	6556107	7098929
     2	277673	3285606	8821315	12524270	13901457
     3	346562	4358377	12393122	18208839	20544065
     4	406584	5318613	15747759	23713902	27079424
     5	460460	6195921	18922853	29058998	33515225
     6	509558	7015416	21974365	34291500	39879108
     7	555512	7787067	24913908	39417137	46171330
     8	598104	8518655	27759056	44449269	52399173
     9	638640	9218828	30526232	49403320	58572709
    10	677242	9889810	33222036	54284578	64694179
    11	714027	10536103	35854458	59101037	70771676
    12	749527	11162149	38430108	63854874	76801112
    13	783856	11768954	40954008	68553096	82789976
    14	817111	12359814	43437420	73203069	88739990
    15	849439	12932892	45871777	77799302	94650102
    16	880230	13489819	48263294	82350159	100524579
    17	910276	14035924	50625036	86865570	106372036
    18	939553	14570066	52947578	91335997	112184961
    19	968438	15092295	55234426	95765435	117963563
    20	996258	15604103	57492817	100158292	123715133
    21	1024140	16105745	59718592	104512074	129433333
    22	1050592	16595382	61915990	108834796	135127079
    23	1077416	17079769	64091775	113129015	140796872
    24	1103033	17555227	66240631	117390291	146440050
    25	1128648	18023650	68366764	121620615	152054753
    26	1153278	18481787	70465109	125820332	157646645
    27	1177401	18934763	72546721	129998150	163220750
    28	1201438	19380951	74605231	134146680	168767548
    29	1224873	19819321	76639978	138262904	174287430
    30	1248404	20254718	78662441	142363212	179792816
    31	1271185	20683372	80664372	146437418	185274504
    32	1293609	21105008	82645192	150486288	190738726
    33	1315794	21522361	84609303	154508553	196175316
    34	1337913	21935843	86563837	158519420	201603596
    35	1359660	22344369	88499153	162507255	207013467
    36	1381011	22747178	90417309	166470344	212398839
    37	1401944	23145839	92319776	170411384	217765312
    38	1423085	23541136	94209955	174334334	223114981
    39	1443545	23929612	96079126	178234234	228444412
    40	1464007	24316990	97940314	182118406	233758240
    41	1484196	24698771	99789604	185988617	239060569
    42	1504534	25078177	101621917	189831936	244338092
    43	1524143	25451103	103438438	193656766	249598714
    44	1543300	25820462	105241027	197462165	254840259
    45	1562314	26184913	107031727	201251573	260068158
    46	1581498	26549077	108813331	205026413	265280973
    47	1600609	26910189	110585386	208789026	270481919
    48	1619203	27268051	112346351	212533021	275666533
    49	1637818	27622752	114098812	216262739	280835925
    50	1656253	27973219	115836014	219975691	285991624
    51	1674370	28319601	117558678	223666830	291126479
    52	1692357	28664683	119276155	227348604	296252082
    53	1710286	29007669	120984875	231016487	301364974
    54	1728236	29347063	122682133	234665556	306456286
    55	1745701	29682889	124365947	238299293	311534724
    56	1762895	30015538	126042778	241922660	316602889
    57	1780189	30347561	127713498	245536985	321660269
    58	1797372	30676743	129372758	249133328	326704228
    59	1814065	31002580	131021181	252714744	331732002
    60	1830713	31326204	132662039	256287698	336751987
    61	1847649	31648249	134297192	259849820	341762686
    62	1864235	31967721	135920598	263391688	346749657
    63	1880565	32285902	137537948	266926788	351731750
    64	1897178	32603993	139149793	270448789	356699536
    65	1913895	32917900	140750982	273960969	361661122
    66	1929985	33229535	142343968	277459348	366608633
    67	1945905	33538196	143924484	280937513	371533872
    68	1961941	33845003	145503089	284412485	376457104
    69	1977710	34151220	147076869	287884395	381377007
    70	1993604	34453940	148638549	291335568	386274899
    71	2009344	34754510	150192554	294774196	391160780
    72	2024698	35053964	151742370	298204205	396040556
    73	2040261	35351709	153284176	301626108	400909506
    74	2055459	35648153	154821002	305038739	405770620
    75	2070541	35942273	156348482	308437267	410616022
    76	2085575	36234820	157869496	311820689	415442598
    77	2100823	36526283	159385327	315201536	420271179
    78	2115776	36816257	160899500	318577267	425093340
    79	2130990	37105917	162408175	321944301	429904312
    80	2146091	37391897	163904485	325294050	434701066
    81	2160898	37677262	165397296	328640988	439496199
    82	2175439	37959846	166881223	331970867	444272358
    83	2190137	38241688	168359817	335293443	449042152
    84	2204573	38520482	169831118	338603205	453797995
    85	2218897	38798083	171295332	341902142	458542963
    86	2233076	39074981	172756156	345195566	463281939
    87	2247782	39351249	174213572	348483128	468014465
    88	2261847	39624284	175661670	351755773	472728569
    89	2275767	39896874	177104589	355018371	477434164
    90	2289673	40167805	178541196	358273796	482131903
    91	2303554	40437114	179973186	361522521	486823842
    92	2317235	40704987	181400535	364761308	491503264
    93	2330862	40972048	182825613	367999013	496182671
    94	2344629	41239260	184245138	371224731	500848355
    95	2358314	41504200	185659312	374443290	505509105
    96	2371737	41766286	187062497	377644198	510150324
    97	2385284	42027663	188461539	380835410	514780512
    98	2398799	42289515	189862248	384030813	519414329
    99	2412142	42548502	191252993	387212218	524035524
   100	2425339	42806071	192639151	390384337	528648249
